,timestamp,open,high,low,close,volume,RSI_14,sma_7,RSI_Trend,ub,mb,lb,ub_tren,lb_tren,3_ub_point,3_lb_point,divergence_angle,divergence_col
77,2020-04-21 12:00:00,1197.4,1198.9,1195.0,1195.6,244739,45.884731693115775,1199.1485714285718,-1.2170403404337122,1259.7143024461866,1215.109,1170.5036975538133,-0.0,-2.0,"1259.9670117594264,1259.9633323166631,1259.7143024461866","1174.440988240574,1172.619667683337,1170.5036975538133",2.849534020368395,
76,2020-04-21 12:15:00,1195.35,1196.6,1171.0,1176.0,1561895,35.214808217136365,1195.3485714285719,-10.66992347597941,1260.5795378604462,1212.8245000000002,1165.0694621395542,1.0,-5.0,"1259.9633323166631,1259.7143024461866,1260.5795378604462","1172.619667683337,1170.5036975538133,1165.0694621395542",22.77401007740437,
75,2020-04-21 12:30:00,1176.18,1182.93,1172.73,1179.33,614318,37.85871525875547,1191.9385714285715,2.6439070416191015,1259.5482226991758,1210.286,1161.0237773008243,-1.0,-4.0,"1259.7143024461866,1260.5795378604462,1259.5482226991758","1170.5036975538133,1165.0694621395542,1161.0237773008243",17.153487277190607,
74,2020-04-21 12:45:00,1179.2,1180.9,1172.05,1172.75,532932,34.83364351347801,1187.8814285714288,-3.025071745277458,1256.2522962647108,1206.7785,1157.304703735289,-3.0,-4.0,"1260.5795378604462,1259.5482226991758,1256.2522962647108","1165.0694621395542,1161.0237773008243,1157.304703735289",13.804315571065104,
73,2020-04-21 13:00:00,1172.6,1177.7,1164.7,1176.6,918979,37.957414687978584,1184.7171428571432,3.1237711745005754,1248.964790258181,1202.936,1156.9072097418189,-7.0,-0.0,"1259.5482226991758,1256.2522962647108,1248.964790258181","1161.0237773008243,1157.304703735289,1156.9072097418189",35.8007858256166,
72,2020-04-21 13:15:00,1176.8,1176.9,1168.0,1169.75,531258,34.764372253734464,1181.061428571429,-3.19304243424412,1241.976979914541,1198.9964999999997,1156.0160200854584,-7.0,-1.0,"1256.2522962647108,1248.964790258181,1241.976979914541","1157.304703735289,1156.9072097418189,1156.0160200854584",3.773417787426382,
71,2020-04-21 13:30:00,1169.79,1180.58,1169.52,1176.94,536049,40.42893548135222,1178.1385714285718,5.664563227617755,1234.5871573839636,1195.7284999999997,1156.8698426160358,-7.0,1.0,"1248.964790258181,1241.976979914541,1234.5871573839636","1156.9072097418189,1156.0160200854584,1156.8698426160358",11.314748318089869,
70,2020-04-21 13:45:00,1176.35,1185.3,1174.5,1183.4,776265,45.046031970319156,1176.3957142857146,4.617096488966936,1225.4639935946957,1192.8235,1160.1830064053042,-9.0,3.0,"1241.976979914541,1234.5871573839636,1225.4639935946957","1156.0160200854584,1156.8698426160358,1160.1830064053042",19.188862552123,
69,2020-04-21 14:00:00,1183.15,1185.4,1177.0,1183.4,447388,45.046031970319156,1177.4528571428575,0.0,1212.1333217165936,1189.8035,1167.4736782834063,-13.0,7.0,"1234.5871573839636,1225.4639935946957,1212.1333217165936","1156.8698426160358,1160.1830064053042,1167.4736782834063",28.34545058743197,
68,2020-04-21 14:15:00,1183.1,1191.4,1181.5,1190.8,763202,50.176279423727465,1179.0914285714287,5.130247453408309,1211.8261139464569,1189.6084999999998,1167.3908860535428,-0.0,-0.0,"1225.4639935946957,1212.1333217165936,1211.8261139464569","1160.1830064053042,1167.4736782834063,1167.3908860535428",87.79591496414645,
