,close,date,high,low,open,volume,RSI_14,sma_7,RSI_Trend,ub,mb,lb,band_diff,band_diff_trend,band_diff_trend_fited
0,180.35,2020-04-07 09:15:00+05:30,185.7,180.05,185.7,2197585,0.0,0.0,,,,,,,
1,180.3,2020-04-07 09:25:00+05:30,181.7,178.55,180.4,1440438,0.0,0.0,0.0,,,,,,
2,180.75,2020-04-07 09:35:00+05:30,182.55,179.6,180.35,1377677,40.909090909098545,0.0,40.909090909098545,,,,,,
3,178.4,2020-04-07 09:45:00+05:30,180.95,178.15,180.7,1115550,12.39406779661067,0.0,-28.515023112487874,,,,,,
4,179.2,2020-04-07 09:55:00+05:30,179.9,178.2,178.5,833818,30.22455867082138,0.0,17.83049087421071,,,,,,
5,177.3,2020-04-07 10:05:00+05:30,179.3,177.15,179.15,1328072,19.87714068081567,0.0,-10.34741799000571,,,,,,
6,174.85,2020-04-07 10:15:00+05:30,178.2,174.3,177.25,2066916,13.47227395601962,178.73571428571427,-6.404866724796051,,,,,,
7,177.0,2020-04-07 10:25:00+05:30,177.25,173.65,174.9,1940724,33.67074029344404,178.25714285714284,20.19846633742442,,,,,,
8,176.7,2020-04-07 10:35:00+05:30,176.85,175.4,176.7,911437,32.529675480528,177.74285714285716,-1.1410648129160421,,,,,,
9,175.95,2020-04-07 10:45:00+05:30,178.0,175.5,176.7,1216436,29.809843728161056,177.05714285714288,-2.719831752366943,,,,,,
10,177.4,2020-04-07 10:55:00+05:30,177.65,175.8,175.9,701471,40.2169869368905,176.91428571428574,10.407143208729444,,,,,,
11,177.65,2020-04-07 11:05:00+05:30,178.9,177.1,177.4,1129543,41.81873845782895,176.69285714285715,1.6017515209384499,,,,,,
12,178.3,2020-04-07 11:15:00+05:30,179.45,177.7,177.8,1111415,45.87888850682639,176.83571428571432,4.060150048997443,,,,,,
13,179.0,2020-04-07 11:25:00+05:30,179.3,178.3,178.4,773411,49.93113679819379,177.42857142857147,4.052248291367398,,,,,,
14,178.15,2020-04-07 11:35:00+05:30,179.05,177.75,178.85,679292,45.47827801787543,177.59285714285718,-4.452858780318358,,,,,,
15,179.15,2020-04-07 11:45:00+05:30,179.3,178.15,178.25,711229,51.01320907772045,177.9428571428572,5.5349310598450145,,,,,,
16,180.5,2020-04-07 11:55:00+05:30,180.5,178.8,179.2,906209,57.313386825429035,178.59285714285718,6.300177747708588,,,,,,
17,180.25,2020-04-07 12:05:00+05:30,180.85,179.7,180.5,989747,55.88013603325488,179.00000000000003,-1.4332507921741566,,,,,,
18,180.45,2020-04-07 12:15:00+05:30,180.5,180.0,180.25,543737,56.810638589462386,179.40000000000003,0.9305025562075073,,,,,,
19,180.15,2020-04-07 12:25:00+05:30,180.45,180.0,180.4,517004,54.938924533416014,179.66428571428577,-1.8717140560463719,181.99813268829908,178.59,175.18186731170093,6.82,,
20,180.95,2020-04-07 12:35:00+05:30,181.2,180.0,180.15,742015,58.83388561711894,179.9428571428572,3.894961083702924,182.103102065688,178.62,175.136897934312,6.97,0.0,5.0
21,180.2,2020-04-07 12:45:00+05:30,181.35,180.0,180.9,755322,54.11164345798737,180.23571428571432,-4.722242159131568,182.08822086223935,178.61499999999998,175.1417791377606,6.95,-0.0,5.0
22,179.45,2020-04-07 12:55:00+05:30,180.25,178.5,180.25,1257041,49.80646530925534,180.27857142857147,-4.305178148732033,181.9015118348213,178.54999999999998,175.19848816517867,6.7,-0.0,5.0
23,179.9,2020-04-07 13:05:00+05:30,180.5,179.35,179.45,745548,52.2606800746609,180.1928571428572,2.4542147654055597,182.029099695491,178.62499999999997,175.22090030450894,6.81,0.0,5.0
24,179.7,2020-04-07 13:15:00+05:30,180.45,179.65,179.9,520942,51.06560434759088,180.11428571428578,-1.1950757270700194,182.07913215966093,178.64999999999998,175.22086784033903,6.86,0.0,5.0
25,179.65,2020-04-07 13:25:00+05:30,180.0,178.9,179.65,480785,50.753134632678524,180.00000000000006,-0.3124697149123534,182.1627404767169,178.76749999999998,175.37225952328308,6.79,-0.0,5.0
26,180.25,2020-04-07 13:35:00+05:30,180.4,179.6,179.8,608477,54.36201007300364,180.01428571428576,3.6088754403251144,181.94481835202131,179.03749999999997,176.13018164797862,5.81,-1.0,2.5
27,180.2,2020-04-07 13:45:00+05:30,180.4,179.8,180.3,454994,54.00683257380399,179.9071428571429,-0.35517749919964814,181.9823225871867,179.19749999999996,176.41267741281322,5.57,-0.0,5.0
28,180.85,2020-04-07 13:55:00+05:30,181.0,180.1,180.25,747558,57.861257126935406,180.00000000000003,3.854424553131416,182.0195141442582,179.40499999999997,176.79048585574174,5.23,-0.0,5.0
29,179.8,2020-04-07 14:05:00+05:30,180.9,179.8,180.8,580357,50.499019933689475,180.05,-7.362237193245932,181.64675532045695,179.5975,177.54824467954305,4.1,-1.0,2.5
30,180.75,2020-04-07 14:15:00+05:30,181.0,179.65,179.75,678635,55.95907879112553,180.17142857142858,5.460058857436053,181.5937470545359,179.765,177.93625294546408,3.66,-0.0,5.0
31,180.6,2020-04-07 14:25:00+05:30,180.9,180.15,180.85,434640,54.92884374135846,180.29999999999998,-1.0302350497670645,181.4802254727454,179.91249999999997,178.34477452725454,3.14,-1.0,2.5
32,180.9,2020-04-07 14:35:00+05:30,181.0,180.5,180.6,427151,56.647901879006554,180.47857142857143,1.7190581376480907,181.47236013302,180.04249999999996,178.61263986697992,2.86,-0.0,5.0
33,182.05,2020-04-07 14:45:00+05:30,182.65,180.6,181.0,1263942,62.545288381834204,180.73571428571427,5.897386502827651,181.79693961381693,180.195,178.59306038618305,3.2,0.0,5.0
34,182.0,2020-04-07 14:55:00+05:30,182.15,181.4,182.05,954834,62.14942671878016,180.9928571428571,-0.3958616630540419,181.8760086142636,180.3875,178.89899138573637,2.98,-0.0,5.0
35,181.3,2020-04-07 15:05:00+05:30,182.15,181.0,182.0,1067277,56.7354535897769,181.05714285714285,-5.41397312900326,181.91623000842307,180.49499999999998,179.07376999157688,2.84,-0.0,5.0
36,181.6,2020-04-07 15:15:00+05:30,181.9,181.1,181.25,1353748,58.40769826632984,181.3142857142857,1.6722446765529355,182.0547293864067,180.54999999999998,179.04527061359326,3.01,0.0,5.0
37,181.35,2020-04-07 15:25:00+05:30,181.65,181.2,181.5,401083,56.44961093520504,181.39999999999995,-1.9580873311248013,182.14359129007505,180.60499999999996,179.06640870992487,3.08,0.0,5.0
38,177.8,2020-04-08 09:15:00+05:30,180.85,177.35,180.85,1554758,37.31794718999274,180.99999999999997,-19.131663745212293,182.45862953412308,180.4725,178.48637046587692,3.97,1.0,7.5
39,178.1,2020-04-08 09:25:00+05:30,180.25,177.7,177.85,1464348,39.1934584433167,180.59999999999994,1.8755112533239569,182.6202397533082,180.36999999999998,178.11976024669175,4.5,1.0,7.5
40,179.45,2020-04-08 09:35:00+05:30,179.5,177.5,178.1,1935643,46.893937789607115,180.22857142857137,7.700479346290415,182.56375806508646,180.295,178.02624193491351,4.54,0.0,5.0
41,179.15,2020-04-08 09:45:00+05:30,179.5,178.55,179.4,1317496,45.514539201724475,179.82142857142853,-1.3793985878826405,182.56838975617825,180.2425,177.91661024382176,4.65,0.0,5.0
42,179.05,2020-04-08 09:55:00+05:30,179.5,178.7,179.2,859570,45.03895782972756,179.49999999999997,-0.47558137199691686,182.58369394419552,180.22250000000003,177.86130605580453,4.72,0.0,5.0
43,179.2,2020-04-08 10:05:00+05:30,179.45,178.8,179.0,726909,45.95125482245958,179.15714285714284,0.9122969927320241,182.58922635278967,180.1875,177.78577364721033,4.8,0.0,5.0
44,180.6,2020-04-08 10:15:00+05:30,180.95,178.9,179.2,1660239,53.679425138103205,179.04999999999998,7.728170315643624,182.62948824185253,180.23250000000002,177.8355117581475,4.79,-0.0,5.0
45,180.1,2020-04-08 10:25:00+05:30,180.95,180.0,180.7,1305138,50.88124633827284,179.3785714285714,-2.7981787998303673,182.6373694529872,180.255,177.8726305470128,4.76,-0.0,5.0
46,180.05,2020-04-08 10:35:00+05:30,180.5,179.05,180.1,1543629,50.59720677826155,179.65714285714284,-0.28403956001128705,182.62913616707564,180.245,177.86086383292437,4.77,0.0,5.0
47,179.45,2020-04-08 10:45:00+05:30,180.25,179.0,180.05,1122407,47.19264412610015,179.65714285714284,-3.4045626521614025,182.61806337595053,180.2075,177.7969366240495,4.82,0.0,5.0
48,179.5,2020-04-08 10:55:00+05:30,180.0,178.3,179.3,1148323,47.5096140037128,179.70714285714283,0.3169698776126495,182.5504159937982,180.14000000000001,177.72958400620183,4.82,0.0,5.0
49,179.7,2020-04-08 11:05:00+05:30,180.2,179.25,179.55,787115,48.83261884667529,179.79999999999998,1.32300484296249,182.5487980554785,180.135,177.72120194452148,4.83,0.0,5.0
50,181.2,2020-04-08 11:15:00+05:30,181.25,179.4,179.85,1751063,57.487221016149775,180.08571428571426,8.654602169474487,182.60360861746184,180.15749999999997,177.7113913825381,4.89,0.0,5.0
51,183.3,2020-04-08 11:25:00+05:30,183.95,181.15,181.15,3148052,66.12569504257303,180.47142857142856,8.638474026423253,183.11109894273736,180.2925,177.47390105726262,5.64,1.0,7.5
52,180.0,2020-04-08 11:35:00+05:30,183.4,179.6,183.3,1587233,49.2053507055714,180.45714285714286,-16.92034433700163,183.05397278156843,180.2475,177.44102721843157,5.61,-0.0,5.0
53,179.15,2020-04-08 11:45:00+05:30,179.9,178.0,179.9,1715587,45.94428104426483,180.32857142857145,-3.2610696613065713,182.81494209251798,180.1025,177.390057907482,5.42,-0.0,5.0
54,180.2,2020-04-08 11:55:00+05:30,180.45,178.7,179.15,876026,50.32402944074822,180.4357142857143,4.379748396483393,182.5751620616276,180.0125,177.44983793837238,5.13,-0.0,5.0
55,179.6,2020-04-08 12:05:00+05:30,180.3,178.7,180.15,664692,47.93402846389412,180.45000000000002,-2.390000976854097,182.42222601596586,179.92749999999995,177.43277398403404,4.99,-0.0,5.0
56,179.75,2020-04-08 12:15:00+05:30,180.0,179.4,179.65,392800,48.59135851924677,180.45714285714286,0.6573300553526451,182.2025659274987,179.83499999999998,177.46743407250125,4.74,-0.0,5.0
57,180.25,2020-04-08 12:25:00+05:30,180.45,179.45,179.75,535216,50.8202025464781,180.32142857142858,2.2288440272313323,182.04841006225206,179.77999999999997,177.51158993774789,4.54,-0.0,5.0
58,179.85,2020-04-08 12:35:00+05:30,180.5,179.4,180.25,466534,48.99029854445501,179.82857142857142,-1.829904002023092,181.9506227185415,179.88249999999996,177.81437728145843,4.14,-0.0,5.0
59,179.7,2020-04-08 12:45:00+05:30,180.25,178.85,179.7,618697,48.28811903007469,179.78571428571428,-0.7021795143803189,181.856778087738,179.96249999999995,178.0682219122619,3.79,-0.0,5.0
60,179.85,2020-04-08 12:55:00+05:30,179.9,179.15,179.6,467462,49.074188110534145,179.88571428571427,0.7860690804594554,181.86238661472194,179.98249999999996,178.10261338527798,3.76,-0.0,5.0
61,179.7,2020-04-08 13:05:00+05:30,180.3,179.0,179.8,553648,48.283771160085244,179.8142857142857,-0.7904169504489005,181.85436553061652,180.00999999999993,178.16563446938335,3.69,-0.0,5.0
62,179.35,2020-04-08 13:15:00+05:30,179.8,179.0,179.65,393549,46.40560076823847,179.7785714285714,-1.8781703918467727,181.84115556950158,180.02499999999992,178.20884443049826,3.63,-0.0,5.0
63,179.55,2020-04-08 13:25:00+05:30,179.7,179.1,179.3,330765,47.658529479983564,179.74999999999997,1.252928711745092,181.8317294725002,180.04249999999996,178.25327052749972,3.58,-0.0,5.0
64,179.1,2020-04-08 13:35:00+05:30,179.7,179.0,179.5,527329,45.103564113847064,179.58571428571423,-2.5549653661365,181.78388014801564,179.96749999999994,178.15111985198425,3.63,0.0,5.0
