,close,date,high,low,open,volume,RSI_14,sma_7,RSI_Trend,ub,mb,lb,ub_tren,lb_tren,3_ub_point,3_lb_point,divergence_angle,divergence_col
0,1206.9,2020-04-13 09:15:00+05:30,1215.0,1190.15,1203.95,917419,0.0,0.0,,,,,,,"nan,nan,nan","nan,nan,nan",,
1,1190.55,2020-04-13 09:25:00+05:30,1208.4,1190.3,1206.9,464061,0.0,0.0,0.0,,,,,,"nan,nan,nan","nan,nan,nan",,
2,1186.95,2020-04-13 09:35:00+05:30,1193.7,1184.4,1190.4,532752,0.0,0.0,0.0,,,,,,"nan,nan,nan","nan,nan,nan",,
3,1180.55,2020-04-13 09:45:00+05:30,1187.9,1180.0,1186.45,410528,0.0,0.0,0.0,,,,,,"nan,nan,nan","nan,nan,nan",,
4,1186.3,2020-04-13 09:55:00+05:30,1186.9,1180.05,1180.9,216563,2.9030567100665223,0.0,2.9030567100665223,,,,,,"nan,nan,nan","nan,nan,nan",,
5,1186.7,2020-04-13 10:05:00+05:30,1191.95,1184.2,1186.3,271019,3.1137712001175544,0.0,0.21071449005103204,,,,,,"nan,nan,nan","nan,nan,nan",,
6,1182.8,2020-04-13 10:15:00+05:30,1187.6,1180.0,1186.0,284754,3.044399898820302,1188.6785714285713,-0.06937130129725233,,,,,,"nan,nan,nan","nan,nan,nan",,
7,1186.0,2020-04-13 10:25:00+05:30,1187.0,1182.4,1182.5,128407,4.916243375341921,1185.6928571428573,1.8718434765216188,,,,,,"nan,nan,nan","nan,nan,nan",,
8,1193.55,2020-04-13 10:35:00+05:30,1200.0,1184.5,1186.0,482556,9.362418814725245,1186.1214285714286,4.446175439383325,,,,,,"nan,nan,nan","nan,nan,nan",,
9,1193.0,2020-04-13 10:45:00+05:30,1195.85,1189.1,1193.0,230743,9.328198934577244,1186.9857142857143,-0.034219880148000925,,,,,,"nan,nan,nan","nan,nan,nan",,
10,1186.7,2020-04-13 10:55:00+05:30,1193.5,1185.0,1192.6,209898,8.92576161617329,1187.8642857142859,-0.4024373184039547,,,,,,"nan,nan,nan","nan,nan,nan",,
11,1189.0,2020-04-13 11:05:00+05:30,1190.0,1186.35,1186.7,129511,10.444781005130025,1188.2500000000002,1.5190193889567354,,,,,,"nan,nan,nan","nan,nan,nan",,
12,1192.9,2020-04-13 11:15:00+05:30,1196.0,1189.0,1189.0,217157,13.091758128614245,1189.1357142857144,2.64697712348422,,,,,,"nan,nan,nan","nan,nan,nan",,
13,1192.5,2020-04-13 11:25:00+05:30,1193.9,1187.5,1192.2,162294,13.049156930886895,1190.5214285714287,-0.04260119772735038,,,,,,"nan,nan,nan","nan,nan,nan",,
14,1195.0,2020-04-13 11:35:00+05:30,1199.75,1191.15,1192.35,291248,14.912758138048545,1191.8071428571432,1.8636012071616506,,,,,,"nan,nan,nan","nan,nan,nan",,
