open,high,low,close,adjclose,volume,ticker,RSI_14,sma_7,RSI_Trend,ub,mb,lb,ub_tren,lb_tren,3_ub_point,3_lb_point,divergence_angle,divergence_col,rsi_indication
56.20000076293945,60.0,56.0,56.599998474121094,56.599998474121094,13573.0,63MOONS.NS,11.821250766817997,0.0,0.0,,,,,,"nan,nan,nan","nan,nan,nan",,,1
open,high,low,close,adjclose,volume,ticker,RSI_14,sma_7,RSI_Trend,ub,mb,lb,ub_tren,lb_tren,3_ub_point,3_lb_point,divergence_angle,divergence_col,rsi_indication
22.549999237060547,23.700000762939453,22.549999237060547,22.549999237060547,22.549999237060547,60058.0,8KMILES.NS,3.341597253847169,23.707143238612584,-1.106239968969632,29.9082224905098,25.822500038146973,21.736777585784147,-0.0,-0.0,"30.445838962168096,30.160744795105344,29.9082224905098","22.374161114125847,22.12925535748255,21.736777585784147",0.8490661219212257,,1
open,high,low,close,adjclose,volume,ticker,RSI_14,sma_7,RSI_Trend,ub,mb,lb,ub_tren,lb_tren,3_ub_point,3_lb_point,divergence_angle,divergence_col,rsi_indication
739.0,765.0,723.0,740.3499755859375,740.3499755859375,196407.0,AARTIDRUGS.NS,72.43864919914607,682.4714268275669,1.914976327902835,783.6714998467762,609.8899932861328,436.10848672548946,15.0,11.0,"754.9156157927785,768.511900857739,783.6714998467762","412.7443726105419,425.2180887662843,436.10848672548946",6.585111442086202,,0
open,high,low,close,adjclose,volume,ticker,RSI_14,sma_7,RSI_Trend,ub,mb,lb,ub_tren,lb_tren,3_ub_point,3_lb_point,divergence_angle,divergence_col,rsi_indication
123.4000015258789,123.4000015258789,115.19999694824219,115.94999694824219,115.94999694824219,1085898.0,ABFRL.NS,19.83416982202904,127.42856924874442,-1.1003370538377624,176.49950190823233,144.27999954223634,112.06049717624035,-2.0,-4.0,"178.04739898150967,178.2498252178072,176.49950190823233","119.9825997977872,115.71517417184123,112.06049717624035",13.946547174475114,,1
open,high,low,close,adjclose,volume,ticker,RSI_14,sma_7,RSI_Trend,ub,mb,lb,ub_tren,lb_tren,3_ub_point,3_lb_point,divergence_angle,divergence_col,rsi_indication
13.0,13.0,13.0,13.0,13.0,0.0,ABMINTLTD.NS,1.2256504489236875,13.321428435189384,0.0,13.682013865987903,13.404999828338623,13.127985790689342,0.0,-0.0,"13.450000126565062,13.628745851477897,13.682013865987903","13.449999491965212,13.226253786125865,13.127985790689342",1.255698670008087,,1
open,high,low,close,adjclose,volume,ticker,RSI_14,sma_7,RSI_Trend,ub,mb,lb,ub_tren,lb_tren,3_ub_point,3_lb_point,divergence_angle,divergence_col,rsi_indication
56.20000076293945,60.0,56.0,56.599998474121094,56.599998474121094,13573.0,63MOONS.NS,11.821250766817997,0.0,0.0,,,,,,"nan,nan,nan","nan,nan,nan",,,1
open,high,low,close,adjclose,volume,ticker,RSI_14,sma_7,RSI_Trend,ub,mb,lb,ub_tren,lb_tren,3_ub_point,3_lb_point,divergence_angle,divergence_col,rsi_indication
22.549999237060547,23.700000762939453,22.549999237060547,22.549999237060547,22.549999237060547,60058.0,8KMILES.NS,3.341597253847169,23.707143238612584,-1.106239968969632,29.9082224905098,25.822500038146973,21.736777585784147,-0.0,-0.0,"30.445838962168096,30.160744795105344,29.9082224905098","22.374161114125847,22.12925535748255,21.736777585784147",0.8490661219212257,,1
open,high,low,close,adjclose,volume,ticker,RSI_14,sma_7,RSI_Trend,ub,mb,lb,ub_tren,lb_tren,3_ub_point,3_lb_point,divergence_angle,divergence_col,rsi_indication
739.0,765.0,723.0,740.3499755859375,740.3499755859375,196407.0,AARTIDRUGS.NS,72.43864919914607,682.4714268275669,1.914976327902835,783.6714998467762,609.8899932861328,436.10848672548946,15.0,11.0,"754.9156157927785,768.511900857739,783.6714998467762","412.7443726105419,425.2180887662843,436.10848672548946",6.585111442086202,,0
open,high,low,close,adjclose,volume,ticker,RSI_14,sma_7,RSI_Trend,ub,mb,lb,ub_tren,lb_tren,3_ub_point,3_lb_point,divergence_angle,divergence_col,rsi_indication
123.4000015258789,123.4000015258789,115.19999694824219,115.94999694824219,115.94999694824219,1085898.0,ABFRL.NS,19.83416982202904,127.42856924874442,-1.1003370538377624,176.49950190823233,144.27999954223634,112.06049717624035,-2.0,-4.0,"178.04739898150967,178.2498252178072,176.49950190823233","119.9825997977872,115.71517417184123,112.06049717624035",13.946547174475114,,1
open,high,low,close,adjclose,volume,ticker,RSI_14,sma_7,RSI_Trend,ub,mb,lb,ub_tren,lb_tren,3_ub_point,3_lb_point,divergence_angle,divergence_col,rsi_indication
13.0,13.0,13.0,13.0,13.0,0.0,ABMINTLTD.NS,1.2256504489236875,13.321428435189384,0.0,13.682013865987903,13.404999828338623,13.127985790689342,0.0,-0.0,"13.450000126565062,13.628745851477897,13.682013865987903","13.449999491965212,13.226253786125865,13.127985790689342",1.255698670008087,,1
open,high,low,close,adjclose,volume,ticker,RSI_14,sma_7,RSI_Trend,ub,mb,lb,ub_tren,lb_tren,3_ub_point,3_lb_point,divergence_angle,divergence_col,rsi_indication
56.20000076293945,60.0,56.0,56.599998474121094,56.599998474121094,13573.0,63MOONS.NS,11.821250766817997,0.0,0.0,,,,,,"nan,nan,nan","nan,nan,nan",,,1
open,high,low,close,adjclose,volume,ticker,RSI_14,sma_7,RSI_Trend,ub,mb,lb,ub_tren,lb_tren,3_ub_point,3_lb_point,divergence_angle,divergence_col,rsi_indication
